# incomplete run 1x1 - 16x1, terminated at 13x1, not sequential
appName, sleep_before, app_time, real_time, user_time, system_time
perf_eval/4x1/4x1, 3, 1.101020, 16.86, 1.25, 1.35
perf_eval/9x1/9x1, 2, 422.338654, 438.81, 154.89, 269.26
perf_eval/11x1/11x1, 10, 915.556274, 9514.90, 3483.51, 6023.52
perf_eval/13x1/13x1, 4, Command terminated by signal 2, 73958.79, 27016.99, 46986.51, 24857422/pow(2,26) percent
# second run, 1x1 - 10x1
perf_eval/4x1/4x1, 8, 1.079530, 16.99, 1.26, 1.35
perf_eval/9x1/9x1, 7, 422.385071, 437.90, 154.97, 268.96
perf_eval/8x1/8x1, 4, 87.613091, 103.51, 32.94, 56.22
perf_eval/1x1/1x1, 4, 0.766879, 16.69, 1.17, 1.14
perf_eval/3x1/3x1, 8, 1.005144, 17.13, 1.31, 1.23
perf_eval/7x1/7x1, 3, 18.830175, 34.74, 7.86, 12.52
perf_eval/2x1/2x1, 3, 0.974304, 16.94, 1.24, 1.28
perf_eval/5x1/5x1, 8, 1.813436, 17.71, 1.57, 1.76
perf_eval/6x1/6x1, 8, 4.589433, 20.54, 2.52, 3.61
perf_eval/10x1/10x1, 3, 2011.894897, 2026.55, 745.43, 1268.00
